time,x,y,z,gforce
1.514,-0.249,0.202,1.055,1.102
1.517,-0.245,0.193,1.061,1.106
1.519,-0.249,0.188,1.079,1.123
1.523,-0.250,0.184,1.080,1.124
1.531,-0.249,0.185,1.081,1.125
1.532,-0.241,0.188,1.080,1.123
1.532,-0.229,0.183,1.097,1.135
1.532,-0.236,0.189,1.067,1.109
1.534,-0.230,0.183,1.062,1.102
1.536,-0.232,0.179,1.036,1.077
1.539,-0.232,0.187,1.028,1.070
1.542,-0.225,0.202,0.989,1.034
1.545,-0.220,0.197,0.948,0.993
1.547,-0.214,0.207,0.907,0.955
1.549,-0.197,0.218,0.895,0.942
1.552,-0.182,0.217,0.881,0.925
1.557,-0.172,0.220,0.872,0.916
1.557,-0.181,0.233,0.917,0.963
1.561,-0.164,0.250,0.941,0.987
1.561,-0.150,0.262,0.950,0.997
1.564,-0.139,0.275,0.941,0.990
1.566,-0.108,0.279,0.936,0.982
1.569,-0.108,0.278,0.928,0.975
1.572,-0.103,0.282,0.926,0.974
1.574,-0.094,0.286,0.911,0.959
1.576,-0.096,0.280,0.894,0.941
1.579,-0.092,0.276,0.897,0.942
1.581,-0.083,0.266,0.885,0.928
1.584,-0.096,0.263,0.880,0.924
1.586,-0.099,0.251,0.875,0.915
1.589,-0.132,0.259,0.864,0.912
1.591,-0.142,0.256,0.891,0.937
1.594,-0.129,0.268,0.925,0.972
1.596,-0.159,0.277,0.941,0.994
1.598,-0.185,0.264,0.939,0.993
1.601,-0.206,0.260,0.952,1.008
1.605,-0.230,0.237,0.956,1.012
1.606,-0.260,0.212,0.970,1.027
1.609,-0.253,0.182,0.986,1.035
1.612,-0.260,0.165,0.973,1.020
1.613,-0.266,0.154,0.987,1.034
1.616,-0.267,0.148,0.983,1.029
1.618,-0.276,0.138,0.995,1.042
1.621,-0.288,0.134,0.991,1.040
1.623,-0.295,0.126,1.007,1.057
1.626,-0.307,0.132,1.021,1.074
1.628,-0.309,0.125,1.037,1.089
1.631,-0.314,0.129,1.048,1.101
1.633,-0.317,0.126,1.043,1.097
1.636,-0.302,0.129,1.055,1.105
1.638,-0.311,0.137,1.067,1.119
1.641,-0.297,0.147,1.076,1.126
1.643,-0.287,0.159,1.076,1.125
1.646,-0.277,0.164,1.065,1.113
1.648,-0.274,0.179,1.048,1.097
1.651,-0.278,0.191,1.032,1.086
1.653,-0.271,0.191,1.007,1.060
1.656,-0.273,0.193,0.986,1.041
