time,x,y,z,gforce
1.029,-0.060,0.662,0.623,0.911
1.033,-0.066,0.657,0.631,0.913
1.035,-0.066,0.665,0.623,0.914
1.037,-0.070,0.658,0.624,0.910
1.040,-0.075,0.664,0.629,0.917
1.042,-0.081,0.668,0.635,0.925
1.044,-0.076,0.672,0.652,0.939
1.054,-0.084,0.676,0.673,0.958
1.054,-0.068,0.691,0.699,0.985
1.055,-0.079,0.698,0.725,1.009
1.055,-0.082,0.709,0.748,1.034
1.057,-0.084,0.734,0.772,1.069
1.059,-0.098,0.755,0.804,1.107
1.062,-0.108,0.765,0.815,1.123
1.064,-0.120,0.773,0.843,1.150
1.067,-0.128,0.785,0.854,1.167
1.069,-0.132,0.797,0.865,1.184
1.072,-0.130,0.806,0.881,1.201
1.074,-0.132,0.811,0.885,1.208
1.076,-0.134,0.808,0.891,1.210
1.079,-0.133,0.806,0.898,1.214
1.082,-0.132,0.801,0.896,1.209
1.084,-0.128,0.807,0.898,1.214
1.086,-0.117,0.792,0.903,1.207
1.089,-0.103,0.797,0.907,1.212
1.091,-0.090,0.792,0.910,1.210
1.094,-0.069,0.791,0.910,1.207
1.096,-0.045,0.790,0.921,1.214
1.099,-0.034,0.782,0.920,1.208
1.102,-0.018,0.783,0.918,1.207
1.104,-0.011,0.773,0.919,1.201
1.106,0.001,0.757,0.916,1.188
1.109,0.013,0.746,0.918,1.183
1.112,0.018,0.744,0.907,1.173
1.115,0.017,0.735,0.901,1.163
1.116,0.010,0.728,0.910,1.166
1.119,0.014,0.719,0.904,1.156
1.121,0.022,0.722,0.896,1.151
1.124,0.026,0.726,0.909,1.164
1.126,0.028,0.721,0.917,1.166
1.129,0.034,0.726,0.917,1.170
1.132,0.035,0.734,0.930,1.185
1.134,0.034,0.732,0.927,1.182
1.136,0.024,0.726,0.944,1.191
1.139,0.021,0.729,0.949,1.197
1.141,0.017,0.735,0.954,1.204
1.144,0.009,0.736,0.959,1.209
1.146,0.008,0.736,0.957,1.207
1.149,0.001,0.741,0.969,1.220
1.151,0.000,0.747,0.976,1.229
1.153,-0.008,0.749,0.982,1.235
1.156,-0.014,0.757,0.989,1.246
1.158,-0.021,0.769,0.990,1.254
